id,aveSpeed,stopNum
1,4.99,3.26
2,7.11,0.66
3,3.64,0.72
4,10.17,3.32
5,8.23,0.48
6,22.55,0
7,0.33,5.19
8,3.5,1.35
9,10,1.55
10,8,0.06
11,9,4.25
12,26.45,0
13,2.5,13.58
14,21.2,0
15,31.19,0
16,21.38,0
17,15.9,0.46
18,20.61,0
19,23.04,0
20,21.71,0
21,32.86,0
22,21.44,0
23,24.18,0
24,30.68,0
25,20.01,0
26,20.83,0
27,21.01,1
28,25.61,0
29,12.18,0.29
30,22.74,2.5
31,1.18,8.7
32,0.44,9.93
33,0.5,8.18
34,27.11,0
35,22.02,0
36,22.68,0.33
37,35.68,0
38,35.42,0
39,5.79,2.2
40,2.94,7.35
41,22.02,0
42,22.68,0.33
43,35.68,0
44,35.42,0
45,27.01,0
46,13.58,2.08
47,26.81,0
48,23.23,0
49,31.75,0.13
50,1.35,6.78
